Language,original
str_tripwiretrap1, seconds
str_tripwiretrap0,Trap will be active in 
str_trapspawnbase0,I've placed the trap
str_trapbase5, seconds
str_trapbase4,Trap will be active in 
str_trapbase3,You've been hurt by trap
str_trapbase2,You've been hurt when manipulating with trap
str_trapbase1,I've deactivated the trap
str_trapbase0,I've placed the trap
str_purifywater0,Purify
str_upgradetorchwithlard0,Upgrade With Lard
str_pokeholesbarrel0,Craft Fire Barrel
str_plantbase0,The %1 is not filled with water.
str_patchitem0,Patch
str_opencan0,Open Can
str_landminetrap1, seconds
str_landminetrap0,Trap will be active in 
str_crafttripwire0,Craft Tripwire
str_crafttorch0,Craft Torch
str_refueltorch0,Refuel Torch
str_craftsuppressor0,Craft Plastic Bottle Suppressor
str_craftstoneknife0,Craft Stone Knife
str_craftsplint0,Craft Splint
str_craftspear0,Craft Spear
str_craftsmallfishtrap0,Craft Plastic Bottle Fish Trap
str_craftsalinebagiv0,Craft IV Saline Bag
str_craftragrope0,Craft Rope
str_craftrag0,Craft Rags
str_craftrabbitsnare0,Craft Snare Trap
str_craftleathercourierbag0,Craft Fur Courier Bag
str_craftimprovisedleatherbag0,Craft Fur Backpack
str_craftimprovisedbag0,Craft Burlap Backpack
str_crafthanddrillkit0,Craft Hand Drill Kit
str_craftgutsrope0,Craft Rope
str_craftghillietop0,Craft Ghillie Cloak
str_craftghilliesuit0,Craft Ghillie Suit
str_craftghilliehood0,Craft Ghillie Hood
str_craftghilliebushrag0,Craft Ghillie Shrug
str_craftghillieattachment0,Craft Ghillie Rifle Wrap
str_craftfishnettrap0,Craft Fish Trap
str_craftfishingrod0,Craft Improvised Fishing Rod
str_craftfireplace0,Craft Fireplace
str_craftfencebase0,Craft Fence Kit
str_craftcourierbag0,Craft Burlap Courier Bag
str_craftcamonetshelter0,Craft Camo Net Shelter
str_craftburlapstrips0,Craft Burlap Strips
str_craftbow0,Craft Improvised Bow
str_craftbonehook0,Craft Improvised Hook
str_craftbonebait0,Craft Fishing Bait
str_craftbloodbagiv0,Craft IV Blood Bag
str_craftbaseballbatnailed0,Craft Nailed Bat
str_craftbait0,Craft Fishing Bait
str_craftarrowbone0,Craft Bone Arrow
str_craftarrow0,Craft Improvised Arrow
str_breakdown0,Break Down
str_craftarmband0,Craft Armband
str_craftleatherbackpack0,Craft Leather Backpack
str_craftleatherbottle0,Craft Leather Bottle
str_craftleathergloves0,Craft Leather Gloves
str_craftleatherhat0,Craft Leather Hat
str_craftleatherjacket0,Craft Leather Jacket
str_craftleatherpants0,Craft Leather Pants
str_craftleathershirt0,Craft Leather Shirt
str_craftleathershoes0,Craft Leather Shoes
str_craftleathervest0,Craft Leather Vest
str_craftwatchtowerkit0,Craft watchtower kit
str_craftwoodenplank0,Craft Wooden Plank
str_cutoutseeds0,Cut Out Seeds
str_gutandprepare0,Gut And Prepare
str_paint0,Paint
str_prepare0,Prepare
str_purifyliquid0,Purify Liquid
str_sawoffbarrel0,Saw Off Barrel
str_split0,Split
str_xbox_authentification_fail,"An unexpected authentication error occurred, please restart the application."
connection_trial_serversfull,Servers are full. Please try later.
str_cfgvehicles_animal_vulpesvulpes0,$UNT$Vulpes Vulpes
str_cfgvehicles_animal_ursusarctos0,$UNT$Ursus Arctos
str_cfgvehicles_animal_susscrofa0,Wild Boar
str_cfgvehicles_animal_susdomesticus0,Pig
str_cfgvehicles_animal_ovisorientalis0,$UNT$Ovis Orientalis
str_cfgvehicles_animal_ovisariesf0,Ewe
str_cfgvehicles_animal_ovisaries0,Ram
str_cfgvehicles_animal_lepuseuropaeus0,Hare
str_cfgvehicles_animal_gallusgallusdomesticusf_white0,$UNT$Gallus Gallus Domesticus Feminam White
str_cfgvehicles_animal_gallusgallusdomesticusf_spotted0,$UNT$Gallus Gallus Domesticus Feminam Spotted
str_cfgvehicles_animal_gallusgallusdomesticusf_brown0,$UNT$Gallus Gallus Domesticus Feminam Brown
str_cfgvehicles_animal_gallusgallusdomesticus0,Rooster
str_cfgvehicles_animal_cervuselaphusf0,Hind
str_cfgvehicles_animal_cervuselaphus0,Stag
str_cfgvehicles_animal_capreoluscapreolusf0,Doe
str_cfgvehicles_animal_capreoluscapreolus0,Roebuck
str_cfgvehicles_animal_caprahircus_white0_0,$UNT$Capra Hircus White
str_cfgvehicles_animal_caprahircus_white0,$UNT$Capra Hircus White
str_cfgvehicles_animal_caprahircusf0,Doe
str_cfgvehicles_animal_caprahircus_brown0_0,$UNT$Capra Hircus Brown
str_cfgvehicles_animal_caprahircus_brown0,$UNT$Capra Hircus Brown
str_cfgvehicles_animal_caprahircus_black0_0,$UNT$Capra Hircus Black
str_cfgvehicles_animal_caprahircus_black0,$UNT$Capra Hircus Black
str_cfgvehicles_animal_caprahircus0,Buck
str_cfgvehicles_animal_canislupus_white0,$UNT$Canis Lupus White
str_cfgvehicles_animal_canislupus_grey0,$UNT$Canis Lupus Grey
str_cfgvehicles_animal_canislupus0,"Wolf
"
str_cfgvehicles_animal_bostaurus_white0,$UNT$Bos Taurus White
str_cfgvehicles_animal_bostaurus_spotted0,$UNT$Bos Taurus Spotted
str_cfgvehicles_animal_bostaurusf_white0,$UNT$Bos Taurus Feminam White
str_cfgvehicles_animal_bostaurusf_spotted0,$UNT$Bos Taurus Feminam White
str_cfgvehicles_animal_bostaurusf_brown0,$UNT$Bos Taurus Feminam Brown
str_cfgvehicles_animal_bostaurusf0,Cow
str_cfgvehicles_animal_bostaurus_brown0,$UNT$Bos Taurus Brown
str_cfgvehicles_animal_bostaurus0,Bull
str_cfgvehicles_animal_bostaurus1,A male cattle. Gives no milk and has an attitude.
str_cfgvehicles_animal_bostaurusf1,A female cattle. It gives no milk since it went feral.
str_cfgvehicles_animal_canislupus1,"A timber wolf. There may be more, as it rarely hunts alone."
str_cfgvehicles_animal_caprahircus1,A male goat. It can eat almost anything.
str_cfgvehicles_animal_caprahircusf1,A female goat. It can eat almost anything.
str_cfgvehicles_animal_capreoluscapreolus1,"A roe deer male. Quite skittish, it can still be hunted."
str_cfgvehicles_animal_capreoluscapreolusf1,"A roe deer female. Quite skittish, it can still be hunted."
str_cfgvehicles_animal_cervuselaphus1,Red deer male. Usually hunted for meat and hide.
str_cfgvehicles_animal_cervuselaphusf1,Red deer female. Usually hunted for meat and hide.
str_cfgvehicles_animal_gallusgallusdomesticus1,A male chicken. Its meat can be a little stringy.
str_cfgvehicles_animal_gallusgallusdomesticusf0,Hen
str_cfgvehicles_animal_gallusgallusdomesticusf1,A female chicken. They are pretty much ubiquitous.
str_cfgvehicles_animal_susdomesticus1,"A domestic pig. Unsurprisingly, it thrives in the wild as well."
str_cfgvehicles_animal_lepuseuropaeus1,A wild hare. Harmless little critter with dry meat and fluffy fur.
str_cfgvehicles_animal_ovisaries1,"A male sheep. It may look small, but its horns are not just for show."
str_cfgvehicles_animal_ovisariesf1,A female sheep. Much beloved due to its tasty meat and soft pelt.
str_cfgvehicles_animal_susscrofa1,"A wild boar. Though tasty, eating five for dinner looked easier in the comicbook."
str_cfgvehicles_tortillabag1,Comfortable backpack for prolonged carrying. Also offers quick access to the bottom part of the cargo space.
str_cfgvehicles_tortillabag0,Combat Backpack
str_cfgvehicles_taloonbag_violet0,"$UNT$Designed to be used all day, this lightweight violet backpack comes with a padded harness that is able to comfortably support any load."
str_cfgvehicles_taloonbag_orange0,"$UNT$Designed to be used all day, this lightweight orange backpack comes with a padded harness that is able to comfortably support any load."
str_cfgvehicles_taloonbag_green0,"$UNT$Designed to be used all day, this lightweight green backpack comes with a padded harness that is able to comfortably support any load."
str_cfgvehicles_taloonbag_colorbase1,Lightweight backpack used for all day trips. Comfortably support any load that fits in.
str_cfgvehicles_taloonbag_colorbase0,Hiking Backpack
str_cfgvehicles_taloonbag_blue0,"$UNT$Designed to be used all day, this lightweight blue backpack comes with a padded harness that is able to comfortably support any load."
str_cfgvehicles_smershbag1,Relatively small pack. Can be attached to vest to further increase its carrying capacity.
str_cfgvehicles_smershbag0,Utility Buttpack
str_cfgvehicles_mountainbag_red0,"$UNT$Large mountaineering red backpack made from hi-tech materials. Thanks to reflex pads, it is visible even in fog or dark."
str_cfgvehicles_mountainbag_orange0,"$UNT$Large mountaineering orange backpack made from hi-tech materials. Thanks to reflex pads, it is visible even in fog or dark."
str_cfgvehicles_mountainbag_green0,"$UNT$Large mountaineering green backpack made from hi-tech materials. Thanks to reflex pads, it is visible even in fog or dark."
str_cfgvehicles_mountainbag_colorbase1,Tall mountaineering backpack made from hi-tech materials. Spacious but sort of noticeable.
str_cfgvehicles_mountainbag_colorbase0,Mountain Backpack
str_cfgvehicles_mountainbag_blue0,"$UNT$Large mountaineering blue backpack made from hi-tech materials. Thanks to reflex pads, it is visible even in fog or dark."
str_cfgvehicles_leathersack_natural0,$UNT$A large natural bag made from tanned animal leather.
str_cfgvehicles_leathersack_colorbase1,"A large bag made from tanned leather. Shoulder straps are chafing uncomfortably, but it is still useful."
str_cfgvehicles_leathersack_colorbase0,Leather Backpack
str_cfgvehicles_leathersack_brown0,$UNT$A large brown bag made from tanned animal leather.
str_cfgvehicles_leathersack_black0,$UNT$A large black bag made from tanned animal leather.
str_cfgvehicles_leathersack_beige0,$UNT$A large beige bag made from tanned animal leather.
str_cfgvehicles_improvisedbag1,"Low profile burlap backpack with wooden frame. Not too rigid, but very practical."
str_cfgvehicles_improvisedbag0,Burlap Backpack
str_cfgvehicles_huntingbag1,"Standard hunting backpack with closable pockets. Very durable and comfortable, if a little old-fashioned."
str_cfgvehicles_huntingbag0,Hunter Backpack
str_cfgvehicles_ghillietop_colorbase0,Ghillie Cloak
str_cfgvehicles_ghilliesuit_colorbase0,Ghillie Suit
str_cfgvehicles_ghilliebushrag_colorbase0,Ghillie Shrug
str_cfgvehicles_furimprovisedbag1,"Low profile boar pelt backpack with wooden frame. Not very fashionable, but very practical."
str_cfgvehicles_furimprovisedbag0,Fur Backpack
str_cfgvehicles_furcourierbag1,"Simple courier bag made from rope and boar pelt. A little bristly, but practical."
str_cfgvehicles_furcourierbag0,Fur Courier Bag
str_cfgvehicles_drybag_yellow0,"$UNT$A yellow bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag."
str_cfgvehicles_drybag_red0,"$UNT$A red bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag."
str_cfgvehicles_drybag_orange0,"$UNT$An orange bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag."
str_cfgvehicles_drybag_green0,"$UNT$A green bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag."
str_cfgvehicles_drybag_colorbase1,"A watertight backpack. However unfavorable the weather conditions may be, gear stays dry whilst being carried. "
